,id,id_central,fecha,hora,generacion,energia_ernc,tipo_central,createdAt,updatedAt
0,1,2,2018-01-01,1,0.0,0.0,termica,,
1,2,2,2018-01-01,2,0.0,0.0,termica,,
2,3,2,2018-01-01,3,0.0,0.0,termica,,
3,4,2,2018-01-01,4,0.0,0.0,termica,,
4,5,2,2018-01-01,5,0.0,0.0,termica,,
5,6,2,2018-01-01,6,0.0,0.0,termica,,
6,7,2,2018-01-01,7,0.0,0.0,termica,,
7,8,2,2018-01-01,8,0.0,0.0,termica,,
8,9,2,2018-01-01,9,0.0,0.0,termica,,
9,10,2,2018-01-01,10,0.0,0.0,termica,,
10,11,2,2018-01-01,11,0.0,0.0,termica,,
11,12,2,2018-01-01,12,0.0,0.0,termica,,
12,13,2,2018-01-01,13,0.0,0.0,termica,,
13,14,2,2018-01-01,14,0.0,0.0,termica,,
14,15,2,2018-01-01,15,0.0,0.0,termica,,
15,16,2,2018-01-01,16,0.0,0.0,termica,,
16,17,2,2018-01-01,17,0.0,0.0,termica,,
17,18,2,2018-01-01,18,0.0,0.0,termica,,
18,19,2,2018-01-01,19,0.0,0.0,termica,,
19,20,2,2018-01-01,20,0.0,0.0,termica,,
20,21,2,2018-01-01,21,0.0,0.0,termica,,
21,22,2,2018-01-01,22,0.0,0.0,termica,,
22,23,2,2018-01-01,23,0.0,0.0,termica,,
23,24,2,2018-01-01,24,0.0,0.0,termica,,
24,25,3,2018-01-01,1,0.0,0.0,termica,,
25,26,3,2018-01-01,2,0.0,0.0,termica,,
26,27,3,2018-01-01,3,0.0,0.0,termica,,
27,28,3,2018-01-01,4,0.0,0.0,termica,,
28,29,3,2018-01-01,5,0.0,0.0,termica,,
29,30,3,2018-01-01,6,0.0,0.0,termica,,
30,31,3,2018-01-01,7,0.0,0.0,termica,,
31,32,3,2018-01-01,8,0.0,0.0,termica,,
32,33,3,2018-01-01,9,0.0,0.0,termica,,
33,34,3,2018-01-01,10,0.0,0.0,termica,,
34,35,3,2018-01-01,11,0.0,0.0,termica,,
35,36,3,2018-01-01,12,2.0,0.0,termica,,
36,37,3,2018-01-01,13,0.0,0.0,termica,,
37,38,3,2018-01-01,14,0.0,0.0,termica,,
38,39,3,2018-01-01,15,0.0,0.0,termica,,
39,40,3,2018-01-01,16,0.0,0.0,termica,,
40,41,3,2018-01-01,17,0.0,0.0,termica,,
41,42,3,2018-01-01,18,0.0,0.0,termica,,
42,43,3,2018-01-01,19,0.0,0.0,termica,,
43,44,3,2018-01-01,20,0.0,0.0,termica,,
44,45,3,2018-01-01,21,0.0,0.0,termica,,
45,46,3,2018-01-01,22,0.0,0.0,termica,,
46,47,3,2018-01-01,23,0.0,0.0,termica,,
47,48,3,2018-01-01,24,0.0,0.0,termica,,
48,49,4,2018-01-01,1,0.0,0.0,termica,,
49,50,4,2018-01-01,2,0.0,0.0,termica,,
50,51,4,2018-01-01,3,0.0,0.0,termica,,
51,52,4,2018-01-01,4,0.0,0.0,termica,,
52,53,4,2018-01-01,5,0.0,0.0,termica,,
53,54,4,2018-01-01,6,0.0,0.0,termica,,
54,55,4,2018-01-01,7,0.0,0.0,termica,,
55,56,4,2018-01-01,8,0.0,0.0,termica,,
56,57,4,2018-01-01,9,0.0,0.0,termica,,
57,58,4,2018-01-01,10,0.0,0.0,termica,,
58,59,4,2018-01-01,11,0.0,0.0,termica,,
59,60,4,2018-01-01,12,0.0,0.0,termica,,
60,61,4,2018-01-01,13,0.0,0.0,termica,,
61,62,4,2018-01-01,14,0.0,0.0,termica,,
62,63,4,2018-01-01,15,0.0,0.0,termica,,
63,64,4,2018-01-01,16,0.0,0.0,termica,,
64,65,4,2018-01-01,17,0.0,0.0,termica,,
65,66,4,2018-01-01,18,0.0,0.0,termica,,
66,67,4,2018-01-01,19,0.0,0.0,termica,,
67,68,4,2018-01-01,20,0.0,0.0,termica,,
68,69,4,2018-01-01,21,0.0,0.0,termica,,
69,70,4,2018-01-01,22,0.0,0.0,termica,,
70,71,4,2018-01-01,23,0.0,0.0,termica,,
71,72,4,2018-01-01,24,0.0,0.0,termica,,
72,73,5,2018-01-01,1,3.0,3.0,hidraulica,,
73,74,5,2018-01-01,2,3.0,3.0,hidraulica,,
74,75,5,2018-01-01,3,3.0,3.0,hidraulica,,
75,76,5,2018-01-01,4,3.0,3.0,hidraulica,,
76,77,5,2018-01-01,5,3.0,3.0,hidraulica,,
77,78,5,2018-01-01,6,3.0,3.0,hidraulica,,
78,79,5,2018-01-01,7,3.0,3.0,hidraulica,,
79,80,5,2018-01-01,8,3.0,3.0,hidraulica,,
80,81,5,2018-01-01,9,3.0,3.0,hidraulica,,
81,82,5,2018-01-01,10,3.1,3.1,hidraulica,,
82,83,5,2018-01-01,11,3.1,3.1,hidraulica,,
83,84,5,2018-01-01,12,3.1,3.1,hidraulica,,
84,85,5,2018-01-01,13,3.1,3.1,hidraulica,,
85,86,5,2018-01-01,14,3.1,3.1,hidraulica,,
86,87,5,2018-01-01,15,3.1,3.1,hidraulica,,
87,88,5,2018-01-01,16,3.1,3.1,hidraulica,,
88,89,5,2018-01-01,17,3.0,3.0,hidraulica,,
89,90,5,2018-01-01,18,3.0,3.0,hidraulica,,
90,91,5,2018-01-01,19,3.0,3.0,hidraulica,,
91,92,5,2018-01-01,20,3.0,3.0,hidraulica,,
92,93,5,2018-01-01,21,3.0,3.0,hidraulica,,
93,94,5,2018-01-01,22,3.0,3.0,hidraulica,,
94,95,5,2018-01-01,23,2.9,2.9,hidraulica,,
95,96,5,2018-01-01,24,2.9,2.9,hidraulica,,
96,97,6,2018-01-01,1,0.0,0.0,hidraulica,,
97,98,6,2018-01-01,2,0.0,0.0,hidraulica,,
98,99,6,2018-01-01,3,0.0,0.0,hidraulica,,
99,100,6,2018-01-01,4,0.0,0.0,hidraulica,,
100,101,6,2018-01-01,5,0.0,0.0,hidraulica,,
101,102,6,2018-01-01,6,0.0,0.0,hidraulica,,
102,103,6,2018-01-01,7,0.0,0.0,hidraulica,,
103,104,6,2018-01-01,8,0.0,0.0,hidraulica,,
104,105,6,2018-01-01,9,0.0,0.0,hidraulica,,
105,106,6,2018-01-01,10,0.0,0.0,hidraulica,,
